DEBUG 2019-07-31 15:03:35,356 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Sessions.Dto.TenantLoginInfoDto
DEBUG 2019-07-31 15:03:35,356 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Sessions.Dto.UserLoginInfoDto
DEBUG 2019-07-31 15:03:35,356 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Roles.Dto.CreateRoleDto
DEBUG 2019-07-31 15:03:35,356 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Roles.Dto.PermissionDto
DEBUG 2019-07-31 15:03:35,356 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Roles.Dto.RoleDto
DEBUG 2019-07-31 15:03:35,357 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Organizations.Dto.OrganizationUnitCreateDto
DEBUG 2019-07-31 15:03:35,357 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Organizations.Dto.OrganizationUnitDto
DEBUG 2019-07-31 15:03:35,358 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.MultiTenancy.Dto.CreateTenantDto
DEBUG 2019-07-31 15:03:35,358 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.MultiTenancy.Dto.TenantDto
DEBUG 2019-07-31 15:03:35,358 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2019-07-31 15:03:35,358 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - LJH.VRTool.Web.Models.Roles.EditRoleModalViewModel
INFO  2019-07-31 15:03:41,604 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62119/  
INFO  2019-07-31 15:03:41,604 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:62119/  0
INFO  2019-07-31 15:03:41,719 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 107.3469ms 200 
INFO  2019-07-31 15:03:46,613 [11   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action LJH.VRTool.Web.Controllers.HomeController.Index (LJH.VRTool.Web.Mvc)
INFO  2019-07-31 15:03:46,694 [11   ] uthorization.DefaultAuthorizationService - Authorization was successful.
INFO  2019-07-31 15:03:46,857 [11   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method LJH.VRTool.Web.Controllers.HomeController.Index (LJH.VRTool.Web.Mvc) - Validation state: Valid
INFO  2019-07-31 15:03:46,871 [11   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method LJH.VRTool.Web.Controllers.HomeController.Index (LJH.VRTool.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 7.4636ms.
INFO  2019-07-31 15:03:47,362 [6    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Index.
WARN  2019-07-31 15:03:48,629 [6    ] naries.DictionaryBasedLocalizationSource - Can not find 'Pages_WebSetting' in localization source 'VRTool'!
